product_id,size_id,code,quantity,size
70,L,70-L,1008,70X140
72,L,72-L,2784,70X140
73,L,73-L,1765,70X140
74,L,74-L,458,70X140
75,L,75-L,1203,70X140
76,L,76-L,320,70X140
77,K,77-K,1490,50X100
79,K,79-K,5284,50X100
80,K,80-K,780,50X100
81,K,81-K,1109,50X100
82,K,82-K,614,50X100
84,L,84-L,118,70X140
86,L,86-L,1155,70X140
89,K,89-K,4000,50X100
90,K,90-K,3793,50X100
91,K,91-K,1038,50X100
92,K,92-K,168,50X100
135,5,135-5,12918,S
136,N,136-N,33727,M
137,M,137-M,16557,L
138,P,138-P,9479,XL
139,5,139-5,5012,S
140,N,140-N,8936,M
141,M,141-M,5307,L
142,P,142-P,5272,XL
143,5,143-5,953,S
144,N,144-N,3836,M
145,M,145-M,2967,L
146,P,146-P,339,XL
148,5,148-5,1,S
149,N,149-N,1603,M
151,P,151-P,13,XL
152,6,152-6,1824,XS
153,5,153-5,2888,S
154,N,154-N,210,M
155,M,155-M,2143,L
157,5,157-5,4359,S
158,N,158-N,9323,M
159,M,159-M,1280,L
160,P,160-P,812,XL
182,6,182-6,331,XS
183,5,183-5,1927,S
184,N,184-N,1190,M
211,16,211-16,126,34/35
212,16,212-16,170,34/35
213,17,213-17,176,36/37
215,19,215-19,78,40/41
216,20,216-20,502,42/43
217,21,217-21,201,44/45
218,17,218-17,448,36/37
219,18,219-18,268,38/39
220,19,220-19,263,40/41
221,20,221-20,379,42/43
222,21,222-21,163,44/45
226,23,226-23,50,40
229,25,229-25,140,42
231,26,231-26,267,43
232,27,232-27,13,44
234,28,234-28,23,45
235,29,235-29,54,46
236,30,236-30,38,47
237,34,237-34,65897,10/XL
239,31,239-31,4114,7/S
240,32,240-32,5437,8/M
241,33,241-33,5960,9/L
242,34,242-34,6958,10/XL
244,35,244-35,853,11/XXL
245,31,245-31,480,7/S
246,32,246-32,2512,8/M
247,34,247-34,7716,10/XL
248,33,248-33,2623,9/L
249,35,249-35,4749,11/XXL
251,22,251-22,147,39
252,23,252-23,246,40
253,24,253-24,234,41
254,25,254-25,12,42
256,27,256-27,109,44
259,30,259-30,45,47
260,31,260-31,1612,7/S
262,33,262-33,1444,9/L
264,35,264-35,2,11/XXL
265,31,265-31,125,7/S
266,32,266-32,4186,8/M
267,33,267-33,37216,9/L
268,34,268-34,94515,10/XL
269,35,269-35,465,11/XXL
270,31,270-31,304,7/S
271,32,271-32,1374,8/M
272,33,272-33,1429,9/L
273,34,273-34,28,10/XL
274,35,274-35,107,11/XXL
275,32,275-32,18460,8/M
276,31,276-31,31290,7/S
277,33,277-33,19634,9/L
278,34,278-34,12620,10/XL
279,35,279-35,484,11/XXL
280,31,280-31,9303,7/S
281,32,281-32,26735,8/M
282,33,282-33,15668,9/L
283,34,283-34,20476,10/XL
284,35,284-35,7640,11/XXL
285,33,285-33,482,9/L
286,34,286-34,838,10/XL
287,35,287-35,5499,11/XXL
289,32,289-32,4335,8/M
290,36,290-36,15,36
291,33,291-33,19210,9/L
292,34,292-34,9736,10/XL
293,35,293-35,18466,11/XXL
295,31,295-31,1598,7/S
296,32,296-32,2,8/M
298,34,298-34,60682,10/XL
299,37,299-37,13,37
301,38,301-38,56,38
302,33,302-33,12010,9/L
303,23,303-23,177,40
304,22,304-22,133,39
305,24,305-24,325,41
306,25,306-25,578,42
307,34,307-34,16140,10/XL
308,26,308-26,362,43
309,35,309-35,11780,11/XXL
310,27,310-27,344,44
311,28,311-28,266,45
313,29,313-29,176,46
314,30,314-30,25,47
315,33,315-33,13863,9/L
316,22,316-22,277,39
317,34,317-34,24296,10/XL
318,23,318-23,92,40
319,24,319-24,315,41
320,25,320-25,997,42
322,26,322-26,569,43
324,32,324-32,3642,8/M
325,33,325-33,39379,9/L
326,34,326-34,75862,10/XL
327,27,327-27,303,44
328,35,328-35,19543,11/XXL
329,28,329-28,194,45
330,29,330-29,43,46
331,30,331-30,331,47
332,22,332-22,25,39
333,31,333-31,1648,7/S
334,32,334-32,992,8/M
335,33,335-33,5383,9/L
336,34,336-34,16587,10/XL
337,34,337-34,25256,10/XL
338,23,338-23,4,40
339,24,339-24,132,41
340,25,340-25,114,42
341,26,341-26,96,43
342,27,342-27,94,44
343,28,343-28,9,45
